Date	Data release	Code version	Sets	Wells	Experiments	Images	Planes	Size (TB)	Files (Million)	DB Size (GB)
2016-04-27	demo1	-	2500	789648	358260	1336889	28915921	36.97	8.21	
2016-05-26	demo2	0.0.7==0.2.0+0.2.1	3183	928192	814321	2280796	31038708	38.36	11.1	89
2016-06-30	demo2+	0.2.1	3420	1019980		2373868	34629205	40.73	13.92	
2016-11-01	demo3rc	0.3.0	3412	1019980	987933	2373901	33850654	40.93	13.76	
2016-11-01	demo3	0.3.0	3425	1022136	819977	2466530	34943226	41.08	13.95	131
2016-12-16	demo31	0.3.1	3425	1022136	990089	2466530	34943226	41.08	13.95	131
2017-01-18	demo32	0.3.2	3618	1034260	1002213	2538319	35732772	41.52	14.08	
2017-02-09	demo33	0.3.3	3733	1034260	1002328	2538777	35734146	41.53	14.08	149
2017-03-16	demo34	0.3.4	3758	1042236	1010304	2673801	36314562	42.17	14.52	165
2017-04-17	demo35	0.3.5	3776	1042236	1010322	2674028	37273710	42.66	14.54	154
2017-04-26	prod36	0.3.6	3776	1042236	1010322	2674028	37273710	42.66	14.54	154
2017-05-10	prod37	0.3.7	3805	1042920	1011006	2680184	37298334	42.77	14.61	155
2017-08-15	prod42	0.4.2	3805	1042920	1011006	2680184	37298334	42.77	14.61	155
2017-09-22	prod43	0.4.3	3799	1035240	1003351	2611160	37331471	45.11	14.15	157
2017-12-04	prod44	0.4.4	3819	1042920	1011031	2680280	37677071	45.36	14.61	157
2018-02-12	prod45	0.4.5	3932	1070472	1038583	2827112	38397311	45.72	15.12	157
2018-03-12	prod46	0.4.6	3932	1070472	1038583	2827112	38397311	45.72	15.12	157
2018-04-12	prod47	0.4.7	4286	1070472	1038583	2890671	42240084	46.95	15.4	157
2018-05-10	prod50	0.5.0	4286	1070472	1038583	2890671	42240084	46.95	15.4	157
2018-08-29	prod51	0.5.1	4288	1069356	1038583	2847146	44175081	48.21	15.4	161
2018-11-01	prod52	0.5.2	5288	1069356	1037984	3345018	45668697	61.65	15.8	189
2018-11-29	prod60	0.6.0	5295	1069356	1037991	3345039	47730189	62.3	15.8	190
2018-12-20	prod61	0.6.1	6295	1069356	1038991	3832474	49192494	76.3	16.3	214
2019-01-16	prod62	0.6.2	6309	1069356	1039000	3833490	49271173	77.49	16.3	216
2019-02-07	prod63	0.6.3	7341	1069356	1040032	4329985	50777538	90.68	16.84	246
2019-02-26	prod64	0.6.4	7410	1072659	1043335	4359712	50897850	90.93	17.00	247
2019-03-19	prod65	0.6.5	7411	1072659	1043336	4359715	50897850	90.93	17.00	248
2019-04-15	prod66	0.6.6	8411	1072659	1044399	4848668	53137295	104.07	17.02	275
2019-06-17	prod67	0.6.7	9479	1072659	1044399	5335326	54605425	116.83	17.99	300
2019-07-03	prod68	0.6.8	9510	1075635	1048380	5341278	55676785	125.9	19.08	306
2019-09-17	prod70	0.7.0	10194	1140531	1113284	7677551	58031858	127.66	19.30	356
2019-11-06	prod71	0.7.1	11318	1188147	1161900	8356200	60071981	142.36	20.36	393
2019-12-10	prod72	0.7.2	11534	1188147	1161986	8370659	61394055	145.97	21.79	398
2020-01-16	prod73	0.7.3	12544	1188147		8862811	62872383	158.30338343134298	21.780547	423
2020-03-03	prod80	0.8.0	12569	1195544		9083954	63756762	158.91306092503	22.181109	431
2020-04-27	prod81	0.8.1	12579	1196615		9084406	63865664	159.04156184442	22.182035	366
2020-05-19	prod82	0.8.2	12617	1211207		9098998	63894848	159.28699533981302	22.225895	367
2020-06-15	prod83	0.8.3	12617	1211207		9098998	63894848	159.28699533981302	22.225895	367
2020-06-30	prod84	0.8.4	12935	1211207		9104113	64994054	166.051140219111	22.239085	358
2020-07-22	prod85	0.8.5	13027	1211207		9106682	65319327	166.32930891414	22.2468	359
2020-08-12	prod86	0.8.6	13031	1211207		9106691	65339012	166.57472994900098	22.246952	385
2020-09-03	prod87	0.8.7	14042	1211399		9601432	66888483	180.10744703932903	22.742929	412.649968287
2020-09-29	prod88	0.8.8	14236	1270211		9757840	69021328	185.13093241431503	23.357416	422.763360927
2020-10-06	prod89	0.8.9	14424	1286147		9903464	70616509	186.92806861126402	24.170604	433.145737887
2020-11-19	prod90	0.9.0	15677	1746563		10646676	72846145	192.92555930017602	26.418725	472.513680031
2020-12-10	prod91	0.9.1	15696	1753475		10708889	73157773	196.00307508509002	26.792054	476.26
2021-01-27	prod92	0.9.2	17211	1753475		11423912	76708906	215.07339019756503	28.162387	520.03
2021-02-11	prod93	0.9.3	17235	1754195		11434381	79886738	217.9785752377	28.190256	537.61
2021-03-02	prod94	0.9.4	17262	1755688		11451794	84877407	249.60981843401507	28.227351	539.813286559
2021-03-17	prod95	0.9.5	17346	1787560		11685300	85812630	259.98367386684305	29.411316	549.64
2021-04-29	prod96	0.9.6	17445	1793693		11816922	86361435	260.66417174797004	29.564944	553.95
2021-05-31	prod97	0.9.7	17466	1793693		11817796	86892269	266.539897252345	29.565929	554.51
2021-06-30	prod98	0.9.8	18489	1793693		12313512	88620001	279.869801734009	30.066415	581.5
2021-08-03	prod99	0.9.9	18513	1793693		12319306	95017392	280.876962901964	30.08391	588.76
2021-09-01	prod100	0.10.0	18557	1795095		12335276	98870307	282.6979774026	30.36849	541.86
2021-09-21	prod101	0.10.1	18643	1795095		12335780	101779147	288.747233009663	30.398726	543.88
2021-11-10	prod102	0.10.2	18657	1795095		12336031	102535840	291.461136232095	30.399584	544.13
